,roll_values,dice_values_to_roll,hit_probability
83,"(2, 2, 4, 5, 5)","(2, 5)",0.3055555555555556
84,"(1, 3, 3, 6, 6)","(1, 3, 6, 6)",0.2129629629629629
85,"(1, 1, 3, 3, 4)","(1, 3)",0.36111111111111116
86,"(1, 2, 2, 5, 6)","(1, 2, 2, 5, 6)",0.15432098765432095
87,"(1, 1, 1, 1, 3)","(1, 1, 1, 1)",0.2129629629629629
88,"(3, 5, 5, 6, 6)","(5, 6)",0.3055555555555556
89,"(1, 1, 2, 2, 3)","(1, 2)",0.3055555555555555
90,"(1, 2, 3, 3, 6)","(3, 6)",0.3055555555555555
91,"(1, 5, 5, 5, 5)","(1, 5, 5, 5, 5)",0.15432098765432095
92,"(1, 2, 5, 5, 5)","(1, 2, 5, 5, 5)",0.15432098765432095
93,"(3, 3, 4, 4, 5)","(3, 4)",0.5555555555555557
94,"(1, 3, 5, 5, 6)","(1, 5)",0.3055555555555556
95,"(2, 2, 4, 6, 6)","(2, 6, 6)",0.24999999999999992
96,"(2, 2, 2, 4, 5)","(2, 2)",0.3055555555555556
97,"(3, 3, 3, 3, 4)","(3, 3, 3)",0.36111111111111105
98,"(1, 1, 1, 2, 4)","(1, 1)",0.3055555555555556
99,"(1, 1, 1, 3, 3)","(1, 1, 1, 3)",0.2129629629629629
100,"(1, 3, 4, 4, 5)","(1, 4)",0.5555555555555557
101,"(1, 2, 3, 4, 4)","(4,)",0.9999999999999999
102,"(1, 5, 5, 6, 6)","(1, 5, 5, 6, 6)",0.15432098765432095
103,"(1, 2, 5, 6, 6)","(1, 2, 5, 6, 6)",0.15432098765432095
104,"(1, 1, 3, 3, 6)","(1, 1, 3, 6)",0.2129629629629629
105,"(2, 2, 2, 3, 6)","(2, 2, 6)",0.2499999999999999
106,"(2, 2, 2, 5, 6)","(2, 2, 2, 5, 6)",0.15432098765432095
107,"(1, 1, 1, 1, 5)","(1, 1, 1, 1, 5)",0.15432098765432095
108,"(1, 1, 5, 5, 5)","(1, 1, 5, 5, 5)",0.15432098765432095
109,"(1, 1, 1, 4, 4)","(1, 1, 1, 4)",0.21296296296296288
110,"(1, 2, 6, 6, 6)","(1, 2, 6, 6, 6)",0.15432098765432095
111,"(2, 2, 6, 6, 6)","(2, 2, 6, 6, 6)",0.15432098765432095
112,"(2, 4, 4, 4, 4)","(4, 4, 4)",0.24999999999999992
113,"(1, 1, 2, 2, 5)","(1, 1, 2, 2, 5)",0.15432098765432095
114,"(1, 2, 3, 5, 5)","(1, 5)",0.3055555555555555
115,"(1, 4, 4, 4, 4)","(1, 4, 4, 4)",0.21296296296296288
116,"(1, 1, 4, 4, 4)","(1, 1, 4, 4)",0.21296296296296288
117,"(2, 3, 3, 3, 4)","(3, 3)",0.5555555555555557
118,"(1, 2, 2, 2, 3)","(2, 2)",0.3055555555555555
119,"(3, 4, 4, 5, 6)","(4,)",0.9999999999999999
120,"(3, 3, 3, 3, 6)","(3, 3, 3, 6)",0.2129629629629629
121,"(1, 1, 1, 2, 6)","(1, 1, 1, 2, 6)",0.15432098765432095
122,"(3, 3, 3, 4, 5)","(3, 3)",0.5555555555555557
123,"(1, 1, 1, 3, 5)","(1, 1, 1)",0.2499999999999999
124,"(4, 4, 4, 4, 4)","(4, 4, 4, 4)",0.21296296296296288
125,"(1, 3, 4, 5, 6)","(1,)",0.9999999999999999
126,"(1, 1, 2, 3, 3)","(1, 3)",0.3055555555555555
127,"(1, 2, 3, 4, 6)","(6,)",0.9999999999999999
128,"(1, 2, 2, 3, 4)","(2,)",0.9999999999999999
129,"(2, 4, 4, 4, 6)","(4, 4, 6)",0.24999999999999992
130,"(1, 1, 3, 5, 5)","(1, 1, 5)",0.2499999999999999
131,"(1, 2, 4, 6, 6)","(6, 6)",0.3055555555555556
132,"(1, 1, 1, 4, 6)","(1, 1, 1, 6)",0.21296296296296288
133,"(4, 5, 5, 5, 5)","(5, 5, 5)",0.24999999999999992
134,"(1, 2, 2, 4, 5)","(1, 2)",0.3055555555555556
135,"(2, 2, 3, 3, 4)","(2, 3)",0.5555555555555557
136,"(1, 1, 2, 4, 4)","(1, 4)",0.3055555555555556
137,"(1, 4, 4, 4, 6)","(1, 4, 4, 6)",0.21296296296296288
138,"(1, 1, 4, 4, 6)","(1, 1, 4, 6)",0.21296296296296288
139,"(1, 2, 3, 6, 6)","(6, 6)",0.3055555555555555
140,"(2, 2, 5, 6, 6)","(2, 2, 5, 6, 6)",0.15432098765432095
141,"(2, 2, 2, 2, 3)","(2, 2, 2)",0.2499999999999999
142,"(2, 3, 3, 3, 6)","(3, 3, 6)",0.2499999999999999
143,"(1, 2, 2, 2, 5)","(1, 2, 2, 2, 5)",0.15432098765432095
144,"(2, 3, 5, 5, 5)","(5, 5)",0.3055555555555555
145,"(2, 4, 4, 6, 6)","(4, 6, 6)",0.24999999999999992
146,"(3, 3, 3, 5, 5)","(3, 3, 5)",0.2499999999999999
147,"(4, 4, 4, 4, 6)","(4, 4, 4, 6)",0.21296296296296288
148,"(4, 5, 5, 6, 6)","(5, 6)",0.3055555555555555
149,"(2, 3, 4, 4, 4)","(4, 4)",0.5555555555555557
150,"(1, 1, 2, 3, 5)","(1, 1)",0.3055555555555555
151,"(1, 1, 4, 6, 6)","(1, 1, 6, 6)",0.21296296296296288
152,"(1, 3, 3, 3, 4)","(3, 3)",0.36111111111111116
153,"(2, 2, 3, 5, 6)","(2, 2)",0.3055555555555556
154,"(1, 2, 2, 3, 6)","(2, 6)",0.3055555555555555
155,"(2, 3, 3, 4, 4)","(3, 4)",0.5555555555555557
156,"(5, 5, 6, 6, 6)","(5, 5, 6, 6, 6)",0.15432098765432095
157,"(5, 5, 5, 5, 5)","(5, 5, 5, 5, 5)",0.15432098765432095
158,"(1, 2, 3, 3, 3)","(3, 3)",0.3055555555555555
159,"(2, 2, 3, 3, 6)","(2, 3, 6)",0.2499999999999999
160,"(1, 1, 2, 4, 6)","(1, 6)",0.3055555555555556
161,"(1, 1, 2, 5, 5)","(1, 1, 2, 5, 5)",0.15432098765432095
162,"(1, 3, 3, 4, 5)","(1, 3)",0.5555555555555557
163,"(2, 5, 5, 5, 6)","(2, 5, 5, 5, 6)",0.15432098765432095
164,"(2, 2, 2, 2, 5)","(2, 2, 2, 2, 5)",0.15432098765432095
165,"(3, 4, 5, 5, 6)","(5,)",0.9999999999999999
166,"(2, 3, 3, 5, 5)","(3, 5)",0.3055555555555555
167,"(3, 3, 3, 6, 6)","(3, 3, 6, 6)",0.2129629629629629
168,"(1, 1, 1, 5, 6)","(1, 1, 1, 5, 6)",0.15432098765432095
